"ID"	"SurveyFK"	"Group"	"Length"	"Quantity"	"PhotoURL"	"Notes"	"Hairy"	"Rolled"	"Tented"	"Sawfly"	"BeetleLarva"	"NeedToSendToINaturalist"
43885	32020	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43886	32030	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43887	32038	"caterpillar"	"14"	1	""	""	0	0	0	0	0	0
43888	32057	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43889	32059	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43890	32062	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43891	32062	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43892	32077	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43893	32116	"caterpillar"	"4"	1	""	""	0	0	0	0	0	0
43894	32127	"caterpillar"	"3"	1	""	""	0	0	0	0	0	0
43895	32127	"caterpillar"	"3"	1	""	""	0	0	0	0	0	0
43896	32134	"caterpillar"	"5"	1	""	""	0	0	0	0	0	0
43897	32147	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43898	32147	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43899	32162	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43900	32180	"caterpillar"	"3"	1	""	""	0	0	0	0	0	0
43901	32199	"caterpillar"	"4"	1	""	""	0	0	0	0	0	0
43902	32201	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43903	32218	"caterpillar"	"14"	1	""	""	0	0	0	0	0	0
43904	32222	"caterpillar"	"22"	1	""	""	0	0	0	0	0	0
43905	32227	"caterpillar"	"3"	1	""	""	0	0	0	0	0	0
43906	32229	"caterpillar"	"23"	1	""	""	0	0	0	0	0	0
43907	32236	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43908	32236	"caterpillar"	"22"	1	""	""	0	0	0	0	0	0
43909	32237	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
43910	32237	"caterpillar"	"21"	1	""	""	0	0	0	0	0	0
43911	32237	"caterpillar"	"23"	1	""	""	0	0	0	0	0	0
43912	32243	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43913	32245	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43914	32246	"caterpillar"	"5"	1	""	""	0	0	0	0	0	0
43915	32251	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
43916	32252	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43917	32262	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43918	32272	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43919	32274	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
43920	32283	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43921	32286	"caterpillar"	"4"	1	""	""	0	0	0	0	0	0
43922	32299	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43923	32300	"caterpillar"	"36"	1	""	""	0	0	0	0	0	0
43924	32302	"caterpillar"	"6"	1	""	""	0	0	0	0	0	0
43925	32312	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43926	32312	"caterpillar"	"17"	1	""	""	0	0	0	0	0	0
43927	32313	"caterpillar"	"14"	1	""	""	0	0	0	0	0	0
43928	32316	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
43929	32317	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43930	32317	"caterpillar"	"18"	1	""	""	0	0	0	0	0	0
43931	32317	"caterpillar"	"24"	1	""	""	0	0	0	0	0	0
43932	32320	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43933	32329	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43934	32330	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43935	32336	"caterpillar"	"23"	1	""	""	0	0	0	0	0	0
43936	32337	"caterpillar"	"16"	1	""	""	0	0	0	0	0	0
43937	32348	"caterpillar"	"16"	1	""	""	0	0	0	0	0	0
43938	32351	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43939	32354	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43940	32357	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43941	32359	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43942	32364	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43943	32368	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43944	32372	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43945	32377	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43946	32380	"caterpillar"	"30"	1	""	""	0	0	0	0	0	0
43947	32383	"caterpillar"	"30"	1	""	""	0	0	0	0	0	0
43948	32388	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43949	32396	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43950	32411	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43951	32412	"caterpillar"	"17"	1	""	""	0	0	0	0	0	0
43952	32413	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43953	32428	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43954	32437	"caterpillar"	"3"	1	""	""	0	0	0	0	0	0
43955	32448	"caterpillar"	"4"	1	""	""	0	0	0	0	0	0
43956	32463	"caterpillar"	"4"	1	""	""	0	0	0	0	0	0
43957	32470	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43958	32473	"caterpillar"	"19"	1	""	""	0	0	0	0	0	0
