"ID"	"SurveyFK"	"Group"	"Length"	"Quantity"	"PhotoURL"	"Notes"	"Hairy"	"Rolled"	"Tented"	"Sawfly"	"BeetleLarva"	"NeedToSendToINaturalist"
43885	32030	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43886	32040	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43887	32092	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43888	32099	"caterpillar"	"18"	1	""	""	0	0	0	0	0	0
43889	32100	"caterpillar"	"16"	1	""	""	0	0	0	0	0	0
43890	32102	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43891	32103	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43892	32108	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43893	32124	"caterpillar"	"22"	1	""	""	0	0	0	0	0	0
43894	32126	"caterpillar"	"5"	1	""	""	0	0	0	0	0	0
43895	32126	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43896	32126	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43897	32132	"caterpillar"	"5"	1	""	""	0	0	0	0	0	0
43898	32134	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43899	32134	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43900	32136	"caterpillar"	"6"	1	""	""	0	0	0	0	0	0
43901	32136	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43902	32143	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43903	32144	"caterpillar"	"5"	1	""	""	0	0	0	0	0	0
43904	32150	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43905	32161	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43906	32163	"caterpillar"	"11"	1	""	""	0	0	0	0	0	0
43907	32165	"caterpillar"	"22"	1	""	""	0	0	0	0	0	0
43908	32169	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43909	32170	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43910	32172	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43911	32176	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43912	32187	"caterpillar"	"6"	1	""	""	0	0	0	0	0	0
43913	32188	"caterpillar"	"5"	1	""	""	0	0	0	0	0	0
43914	32207	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43915	32221	"caterpillar"	"20"	1	""	""	0	0	0	0	0	0
43916	32223	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43917	32248	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43918	32256	"caterpillar"	"14"	1	""	""	0	0	0	0	0	0
43919	32276	"caterpillar"	"28"	1	""	""	0	0	0	0	0	0
43920	32289	"caterpillar"	"22"	1	""	""	0	0	0	0	0	0
43921	32291	"caterpillar"	"7"	2	""	""	0	0	0	0	0	0
43922	32295	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43923	32296	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43924	32307	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
43925	32318	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43926	32318	"caterpillar"	"10"	2	""	""	0	0	0	0	0	0
43927	32342	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43928	32365	"caterpillar"	"21"	1	""	""	0	0	0	0	0	0
43929	32365	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43930	32367	"caterpillar"	"11"	1	""	""	0	0	0	0	0	0
43931	32367	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43932	32367	"caterpillar"	"14"	1	""	""	0	0	0	0	0	0
43933	32377	"caterpillar"	"21"	1	""	""	0	0	0	0	0	0
43934	32383	"caterpillar"	"27"	1	""	""	0	0	0	0	0	0
43935	32387	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
43936	32388	"caterpillar"	"11"	1	""	""	0	0	0	0	0	0
43937	32390	"caterpillar"	"19"	1	""	""	0	0	0	0	0	0
43938	32395	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43939	32395	"caterpillar"	"17"	1	""	""	0	0	0	0	0	0
43940	32397	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
43941	32417	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43942	32417	"caterpillar"	"22"	1	""	""	0	0	0	0	0	0
43943	32418	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43944	32421	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43945	32427	"caterpillar"	"18"	1	""	""	0	0	0	0	0	0
43946	32427	"caterpillar"	"21"	1	""	""	0	0	0	0	0	0
43947	32430	"caterpillar"	"6"	1	""	""	0	0	0	0	0	0
43948	32432	"caterpillar"	"10"	1	""	""	0	0	0	0	0	0
43949	32432	"caterpillar"	"16"	1	""	""	0	0	0	0	0	0
43950	32437	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43951	32438	"caterpillar"	"36"	1	""	""	0	0	0	0	0	0
43952	32442	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43953	32446	"caterpillar"	"6"	1	""	""	0	0	0	0	0	0
43954	32450	"caterpillar"	"5"	1	""	""	0	0	0	0	0	0
43955	32451	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43956	32452	"caterpillar"	"11"	1	""	""	0	0	0	0	0	0
43957	32462	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43958	32463	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43959	32465	"caterpillar"	"16"	1	""	""	0	0	0	0	0	0
43960	32472	"caterpillar"	"5"	2	""	""	0	0	0	0	0	0
43961	32472	"caterpillar"	"25"	1	""	""	0	0	0	0	0	0
43962	32472	"caterpillar"	"6"	1	""	""	0	0	0	0	0	0
43963	32473	"caterpillar"	"15"	1	""	""	0	0	0	0	0	0
43964	32473	"caterpillar"	"19"	1	""	""	0	0	0	0	0	0
43965	32486	"caterpillar"	"19"	1	""	""	0	0	0	0	0	0
43966	32486	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43967	32486	"caterpillar"	"17"	1	""	""	0	0	0	0	0	0
43968	32488	"caterpillar"	"12"	1	""	""	0	0	0	0	0	0
43969	32488	"caterpillar"	"14"	1	""	""	0	0	0	0	0	0
43970	32500	"caterpillar"	"11"	1	""	""	0	0	0	0	0	0
43971	32500	"caterpillar"	"6"	1	""	""	0	0	0	0	0	0
43972	32502	"caterpillar"	"22"	1	""	""	0	0	0	0	0	0
43973	32502	"caterpillar"	"27"	1	""	""	0	0	0	0	0	0
43974	32504	"caterpillar"	"19"	1	""	""	0	0	0	0	0	0
43975	32506	"caterpillar"	"4"	1	""	""	0	0	0	0	0	0
43976	32506	"caterpillar"	"18"	1	""	""	0	0	0	0	0	0
43977	32508	"caterpillar"	"4"	1	""	""	0	0	0	0	0	0
43978	32510	"caterpillar"	"9"	1	""	""	0	0	0	0	0	0
43979	32510	"caterpillar"	"8"	1	""	""	0	0	0	0	0	0
43980	32514	"caterpillar"	"7"	1	""	""	0	0	0	0	0	0
43981	32516	"caterpillar"	"13"	1	""	""	0	0	0	0	0	0
