Year	Plot	Yearday	Point	TreeSpecies	Sample	NumCaterpillars	Length_mm	CaterpillarBiomass_ma	 CaterpillarFamily	Comments
2002	BS	150	O5	Red-Oak	2	0	0	0		DHK
2002	BS	148	A1	Red-Maple	1	0	0	0		KWS
2002	BS	148	A1	Red-Maple	2	0	0	0		KWS
2002	BS	148	A3	Red-Maple	1	0	0	0		KML
2002	BS	148	A3	Red-Maple	2	1	20	10.8837656		KML
2002	BS	150	A7	Red-Maple	1	0	0	0		DHD
2002	BS	150	A7	Red-Maple	2	0	0	0		DHD
2002	BS	148	C1	Red-Maple	1	0	0	0		KWS
2002	BS	148	C1	Red-Maple	2	0	0	0		KWS
2002	BS	148	C3	Red-Maple	1	0	0	0		KML
2002	BS	148	C3	Red-Maple	2	0	0	0		KML
2002	BS	148	C5	Red-Maple	1	0	0	0		DHK
2002	BS	148	C5	Red-Maple	2	0	0	0		DHK
2002	BS	148	E1	Red-Maple	1	0	0	0		KWS
2002	BS	148	E1	Red-Maple	2	1	9	1.322087552		KWS
2002	BS	148	E3	Red-Maple	1	0	0	0		KML
2002	BS	148	E3	Red-Maple	2	0	0	0		KML
2002	BS	148	E5	Red-Maple	1	0	0	0		DHK
2002	BS	148	E5	Red-Maple	2	0	0	0		DHK
2002	BS	148	E7	Red-Maple	1	0	0	0		DHD
2002	BS	148	E7	Red-Maple	2	0	0	0		DHD
2002	BS	148	G1	Red-Maple	1	0	0	0		KWS
2002	BS	148	G1	Red-Maple	2	1	14	4.244612078		KWS
2002	BS	148	G3	Red-Maple	1	0	0	0		KML
2002	BS	148	G5	Red-Maple	1	0	0	0		DHK
2002	BS	148	G5	Red-Maple	2	0	0	0		DHK
2002	BS	150	G7	Red-Maple	1	0	0	0		DHD
2002	BS	150	G7	Red-Maple	2	0	0	0		DHD
2002	BS	148	I1	Red-Maple	1	0	0	0		KWS
2002	BS	148	I1	Red-Maple	2	0	0	0		KWS
2002	BS	148	I3	Red-Maple	1	0	0	0		KML
2002	BS	148	I3	Red-Maple	2	0	0	0		KML
2002	BS	148	I5	Red-Maple	1	0	0	0		DHK
2002	BS	148	I5	Red-Maple	2	0	0	0		DHK
2002	BS	148	I7	Red-Maple	1	0	0	0		DHD
2002	BS	148	I7	Red-Maple	2	0	0	0		DHD
2002	BS	148	K1	Red-Maple	1	0	0	0		KWS
2002	BS	148	K1	Red-Maple	2	0	0	0		KWS
2002	BS	148	K3	Red-Maple	1	0	0	0		KML
2002	BS	148	K3	Red-Maple	2	0	0	0		KML
2002	BS	148	K5	Red-Maple	1	0	0	0		DHK
2002	BS	148	K5	Red-Maple	2	1	20	10.8837656		DHK
2002	BS	148	M1	Red-Maple	1	0	0	0		KWS
2002	BS	148	M1	Red-Maple	2	1	12	2.825520619		KWS
2002	BS	148	M3	Red-Maple	1	0	0	0		KML
2002	BS	148	M3	Red-Maple	2	0	0	0		KML
2002	BS	150	M7	Red-Maple	1	1	10	1.746063329		DHD
2002	BS	150	M7	Red-Maple	1	1	8	0.96876303		DHD
2002	BS	150	M7	Red-Maple	2	0	0	0		DHD
2002	BS	148	O1	Red-Maple	1	0	0	0		KWS
2002	BS	148	O1	Red-Maple	2	0	0	0		KWS
2002	BS	148	O3	Red-Maple	1	0	0	0		KML
2002	BS	148	O3	Red-Maple	2	0	0	0		KML
2002	BS	148	Q1	Red-Maple	1	0	0	0		KWS
2002	BS	148	Q1	Red-Maple	2	0	0	0		KWS
2002	BS	148	Q3	Red-Maple	1	0	0	0		KML
2002	BS	148	Q3	Red-Maple	2	0	0	0		KML
2002	BS	148	S3	Red-Maple	1	0	0	0		KML
2002	BS	148	S3	Red-Maple	2	0	0	0		KML
2002	BS	148	U1	Red-Maple	1	0	0	0		KWS
2002	BS	148	U1	Red-Maple	2	0	0	0		KWS
2002	BS	148	A1	8	1	0	0	0		KWS
2002	BS	148	A1	8	2	1	10	1.746063329		KWS
2002	BS	150	A7	8	1	0	0	0		DHD
2002	BS	150	A7	8	2	0	0	0		DHD
2002	BS	148	C1	8	1	0	0	0		KWS
2002	BS	148	C1	8	2	0	0	0		KWS
2002	BS	148	C5	8	1	0	0	0		DHK
2002	BS	148	C5	8	2	0	0	0		DHK
2002	BS	148	E1	8	1	0	0	0		KWS
2002	BS	148	E1	8	2	0	0	0		KWS
2002	BS	148	G1	8	1	0	0	0		KWS
2002	BS	148	G1	8	2	0	0	0		KWS
2002	BS	148	G3	8	1	0	0	0		KML
2002	BS	148	G3	8	2	0	0	0		KML
2002	BS	148	I1	8	1	0	0	0		KWS
2002	BS	148	I1	8	2	0	0	0		KWS
2002	BS	148	I3	8	1	0	0	0		KML
2002	BS	148	K1	8	1	0	0	0		KWS
2002	BS	148	K1	8	2	0	0	0		KWS
2002	BS	148	K3	8	1	0	0	0		KML
2002	BS	148	K3	8	2	0	0	0		KML
2002	BS	148	K5	8	1	0	0	0		DHK
2002	BS	148	K5	8	2	0	0	0		DHK
2002	BS	150	K7	8	1	0	0	0		DHD
2002	BS	150	K7	8	2	0	0	0		DHD
2002	BS	148	M1	8	1	0	0	0		KWS
2002	BS	148	M1	8	2	0	0	0		KWS
2002	BS	148	M3	8	1	0	0	0		KML
2002	BS	148	M3	8	2	0	0	0		KML
2002	BS	150	M5	8	1	0	0	0		DHK
2002	BS	150	M5	8	2	0	0	0		DHK
2002	BS	150	M7	8	1	0	0	0		DHD
2002	BS	150	M7	8	2	0	0	0		DHD
2002	BS	148	O1	8	1	0	0	0		KWS
