"ID"	"SiteFK"	"Circle"	"Orientation"	"Code"	"Species"
2173	1300	1	"A"	1	"American beech"
2174	1300	1	"B"	2	"American chestnut"
2175	1300	1	"C"	3	"American chestnut"
2176	1300	1	"D"	4	"Black cherry"
2177	1300	1	"E"	5	"Black locust"
2178	1300	2	"A"	6	"Black locust"
2179	1300	2	"B"	7	"Hawthorn sp."
2180	1300	2	"C"	8	"Hawthorn sp."
2181	1300	2	"D"	9	"Mountain winterberry"
2182	1300	2	"E"	10	"Red maple"
2183	1300	3	"A"	11	"Red maple"
2184	1300	3	"B"	12	"Red oak"
2185	1300	3	"C"	13	"Red oak"
2186	1300	3	"D"	14	"Rhododendron"
2187	1300	3	"E"	15	"Rhododendron"
2188	1300	4	"A"	16	"Serviceberry"
2189	1300	4	"B"	17	"Serviceberry"
2190	1300	4	"C"	18	"Striped maple"
2191	1300	4	"D"	19	"Striped maple"
2192	1300	4	"E"	20	"White ash"
2193	1300	5	"A"	21	"White ash"
2194	1300	5	"B"	22	"Yellow birch"
2195	1300	5	"C"	23	"Yellow birch"
2196	1300	5	"D"	24	"8"
2197	1300	5	"E"	25	"8"
2198	1300	1	"A"	26	"9"
2199	1300	1	"B"	27	"9"
2200	1300	1	"C"	28	"American chestnut"
2201	1300	1	"D"	29	"American chestnut"
2202	1300	1	"E"	30	"Black cherry"
2203	1300	2	"A"	31	"Hawthorn sp."
2204	1300	2	"B"	32	"Hawthorn sp."
2205	1300	2	"C"	33	"Red maple"
2206	1300	2	"D"	34	"Red maple"
2207	1300	2	"E"	35	"Red oak"
2208	1300	3	"A"	36	"Red oak"
2209	1300	3	"B"	37	"Rhododendron"
2210	1300	3	"C"	38	"Rhododendron"
2211	1300	3	"D"	39	"Serviceberry"
2212	1300	3	"E"	40	"Serviceberry"
2213	1300	4	"A"	41	"Striped maple"
2214	1300	4	"B"	42	"Striped maple"
2215	1300	4	"C"	43	"Witch hazel"
2216	1300	4	"D"	44	"Witch hazel"
2217	1300	4	"E"	45	"Yellow birch"
2218	1300	5	"A"	46	"American chestnut"
2219	1300	5	"B"	47	"American chestnut"
2220	1300	5	"C"	48	"Black locust"
2221	1300	5	"D"	49	"Hawthorn sp."
2222	1300	5	"E"	50	"Mountain winterberry"
2223	1300	1	"A"	51	"Red maple"
2224	1300	1	"B"	52	"Red maple"
2225	1300	1	"C"	53	"Red oak"
2226	1300	1	"D"	54	"Red oak"
2227	1300	1	"E"	55	"Rhododendron"
2228	1300	2	"A"	56	"Rhododendron"
2229	1300	2	"B"	57	"Serviceberry"
2230	1300	2	"C"	58	"Serviceberry"
2231	1300	2	"D"	59	"Striped maple"
2232	1300	2	"E"	60	"Striped maple"
2233	1300	3	"A"	61	"White oak"
2234	1300	3	"B"	62	"Witch hazel"
2235	1300	3	"C"	63	"Witch hazel"
2236	1300	3	"D"	64	"Yellow birch"
2237	1300	3	"E"	65	"Yellow birch"
