Comments	arthropodNotes	NumberOfLeaves	Group	Hairy	Rolled	Tented	BeetleLarva	Sawfly
		NA		NA	NA	NA	NA	NA
"  JLH, MHC, CMK, AJC"		NA		NA	NA	NA	NA	NA
"  JLH, MHC, CMK, AJC, sad looking"	sad looking	NA		NA	NA	NA	NA	NA
" AJC, CAH, LTC, SAW, CMK"		NA		NA	NA	NA	NA	NA
" JLH, MHC, CMK, AJC"		NA		NA	NA	NA	NA	NA
" JLH, MHC, SAW, RJC"		NA		NA	NA	NA	NA	NA
" MHC, CMK, GSP"		NA		NA	NA	NA	NA	NA
" MHC, JLH, AJC"		NA		NA	NA	NA	NA	NA
" MHC, JLH, AJC, chubby"	chubby	NA		NA	NA	NA	NA	NA
“Almost dead”	Almost dead	NA		NA	NA	NA	NA	NA
2 stem 		NA		NA	NA	NA	NA	NA
2 stem sample		NA		NA	NA	NA	NA	NA
2 stems		NA		NA	NA	NA	NA	NA
2 tiny snails		NA		NA	NA	NA	NA	NA
2 trees for 50 leaf sample		NA		NA	NA	NA	NA	NA
2 trees for 50 leaves		NA		NA	NA	NA	NA	NA
"2 trees, JLH, CAH, LTC"		NA		NA	NA	NA	NA	NA
"2 trees, JLH, MHC, SAW, RJC"		NA		NA	NA	NA	NA	NA
25 leaf sample		25		NA	NA	NA	NA	NA
36 leaves		36		NA	NA	NA	NA	NA
38 leaf sample		38		NA	NA	NA	NA	NA
40 leaves		40		NA	NA	NA	NA	NA
"46 leaves, MHC, GSP, SAW, CMK"		46		NA	NA	NA	NA	NA
"46 leaves, MHC, GSP, SAW, PKS"		46		NA	NA	NA	NA	NA
ABC		NA		NA	NA	NA	NA	NA
ABC/JLH		NA		NA	NA	NA	NA	NA
ABC/MHC		NA		NA	NA	NA	NA	NA
ABJ		NA		NA	NA	NA	NA	NA
ACM		NA		NA	NA	NA	NA	NA
ACP		NA		NA	NA	NA	NA	NA
"ADK, AMR"		NA		NA	NA	NA	NA	NA
"ADK, AMR, 2 stems"		NA		NA	NA	NA	NA	NA
"ADK, AMR, 3 stems"		NA		NA	NA	NA	NA	NA
"ADK, AMR, JDH"		NA		NA	NA	NA	NA	NA
"ADK, AMR, RWC"		NA		NA	NA	NA	NA	NA
"ADK, AMR, RWC, 2 stems"		NA		NA	NA	NA	NA	NA
"ADK, AMR, RWC, 2stems"		NA		NA	NA	NA	NA	NA
"ADK, AMR, RWC, 3 stems"		NA		NA	NA	NA	NA	NA
