Year	Plot	Yearday	Point	TreeSpecies	Sample	NumCaterpillars	Length_mm	CaterpillarBiomass_ma	CaterpillarFamily	Comments	n	x
2011	BB	141	I3	Witch-Hazel	1	1	16	6.038606714	Noctuid	green with white stripes	0	
2011	BB	143	I9	Witch-Hazel	1	1	6	0.453293292	Tortricid/Pyraloid	green with black head	0	
2011	BS	150	E7	Basswood	1	1	31	34.61424498	Noctuid	yellow with diamond patterns	0	
2011	BB	145	O11	Witch-Hazel	1	1	12	2.825520619	Tortricid/Pyraloid		1	
2011	BB	191	U1	Striped-Maple	2	1	21	12.3799511	Sawfly		1	
2011	BS	142	M9	Black-Locust	1	1	11	2.245622133	Sawfly		1	
2011	BS	144	I7	Witch-Hazel	1	1	14	4.244612078	Tortricid/Pyraloid		1	
2011	BS	162	M25	Striped-Maple	1	1	12	2.825520619	Geometrid		1	
2011	BS	162	Q27	Witch-Hazel	2	1	20	10.8837656	Tortricid/Pyraloid		1	
2011	BS	201	Q11	Witch-Hazel	2	1	4	0.155416945	Sawfly		1	
2011	BS	201	Q13	Serviceberry	1	1	9	1.322087552	Sawfly		1	
2012	BB	182	U11	Serviceberry	1	1	4	0.155416945	Other	"CMK, SAW, JLH"	1	
2012	BB	198	Q13	Mountain-Winterberry	1	1	5	0.280117862	Sawfly	" MHC, JLH, AJC"	1	
2012	BS	149	U23	Witch-Hazel	1	1	19	9.505380314	Geometrid	"JLH, CAH, LTC, JMC"	1	
2012	BS	166	I13	Striped-Maple	2	1	30	31.74388695	Geometrid	"CAH, LTC, AJC, MHC"	1	
2012	BS	187	I19	Black-Cherry	1	1	4	0.155416945	Sawfly	"CAH, AJC, JLH, LTC"	1	
2012	BS	202	I17	Yellow-Birch	2	1	5	0.280117862	Geometrid	"MHC, JLH, AJC"	1	
2013	BB	168	E9	Yellow-Birch	2	1	5	0.280117862	Tortricid/Pyraloid	"MHC, RWC, JMW"	1	
2013	BB	170	S9	Yellow-Birch	2	1	12	2.825520619	Noctuid	"MHC, JMW, RWC"	1	
2013	BB	178	O13	Yellow-Birch	2	1	13	3.490361756	Geometrid	"JLH, JMW, RWC"	1	
2013	BB	180	U3	Striped-Maple	1	2	8	1.93752606	Sawfly	"JMW, JLH"	1	
2013	BB	191	Q3	Yellow-Birch	1	1	3	0.072721044	Notodontid	"JMW, RWC"	1	
2013	BS	155	Q19	Red-Oak	2	1	10	1.746063329	Noctuid	"JLH, MHC, JMF"	1	
2014	BB	146	U13	Serviceberry	1	1	14	4.244612078	Noctuid	"JMF, JMW"	1	
2014	BB	157	I3	Striped-Maple	1	1	16	6.038606714	Geometrid	"MHC, JMW, RWC, BML"	1	
2014	BB	160	K9	Serviceberry	1	1	3	0.072721044	Tortricid/Pyraloid	"JMW, BML, RWC"	1	
2014	BB	167	S9	Yellow-Birch	1	1	23	15.74060709	Noctuid	"JMW, BML, RWC"	1	
2014	BB	168	E9	Yellow-Birch	2	1	16	6.038606714	Noctuid	"JMW, RWC, BML"	1	
2014	BB	170	S13	Red-Maple	2	1	6	0.453293292	Geometrid	JMW BML RWC JLH	1	
2014	BB	170	S13	Yellow-Birch	1	1	21	12.3799511	Tortricid/Pyraloid	JMW BML RWC JLH	1	
2014	BB	171	U3	American-Chestnut	1	1	7	0.680955633	Noctuid	"JLH, RWC, JMW, BML"	1	
2014	BB	172	A3	Yellow-Birch	2	1	3	0.072721044	Sawfly	JMW JMF	1	
2014	BB	172	C3	Red-Oak	1	1	21	12.3799511	Geometrid	JMW JMF	1	
2014	BB	172	E3	Yellow-Birch	1	1	15	5.092615825	Noctuid	JMW JMF	1	
2014	BB	175	U1	Serviceberry	1	2	5	0.560235724	Sawfly	"JMW, RWC, BML"	1	
2014	BB	183	M1	Striped-Maple	2	1	8	0.96876303	Sawfly	"JMW, BML, JDH"	1	
2014	BB	183	S1	Serviceberry	2	1	4	0.155416945	Geometrid	"JMW, BML, JDH"	1	
2014	BB	183	U1	Serviceberry	2	1	4	0.155416945	Sawfly	"JMW, BML, JDH"	1	
2014	BB	186	O9	Striped-Maple	2	1	16	6.038606714	Sawfly	"JMW, RWC"	1	
2014	BB	189	C13	Red-Maple	1	1	7	0.680955633	Tortricid/Pyraloid	"JMW, BML, JDH"	1	
2014	BB	189	K1	Striped-Maple	1	1	7	0.680955633	Sawfly	"JMW, BML, JDH"	1	
2014	BB	189	K1	Yellow-Birch	1	1	4	0.155416945	Sawfly	"JMW, BML, JDH"	1	
2014	BB	192	I9	Striped-Maple	1	1	8	0.96876303	Sawfly	"JMF, JMW, RWC, BML, EAB, JDH"	1	
2014	BB	196	A3	Serviceberry	2	1	8	0.96876303	Sawfly	"JMF, JMW"	1	
2014	BB	196	C3	Serviceberry	2	1	4	0.155416945	Notodontid	"JMF, JMW"	1	
2014	BB	198	Q9	Serviceberry	2	1	6	0.453293292	Sawfly	"JMF, JMW"	1	
2014	BB	203	A1	American-Chestnut	2	1	7	0.680955633	Notodontid	"JMF, JMW, JLH"	1	
2014	BB	203	A1	Serviceberry	2	2	10	3.492126658	Sawfly	"JMF, JMW, JLH"	1	
