"Name","Year","medianGreenup","minJulianWeek","maxJulianWeek","totalSurveys","numGoodWeeks","numWeeksPostSolsticeWindow","numWeeksPostGreenupWindow","pctSolstice","densSolstice","massSolstice","pctPostGU","densPostGU","massPostGU","pctPeakDate","densPeakDate","massPeakDate","pctPeakDateWindow","densPeakDateWindow","massPeakDateWindow","pctPeakDateGreenupWindow","densPeakDateGreenupWindow","massPeakDateGreenupWindow","pctRollingPeakDateWindow","densRollingPeakDateWindow","massRollingPeakDateWindow","Longitude","Latitude","ebirdCounty","npn_firstLeaf","npnGDD_May1","daymetGDD_May1","daymetGDD_Jun1","date2000GDD","precipThruJun1"
"Coweeta - BB",2003,135,172,186,490,2,2,2,4.89637478341997,0.0530454484872718,0.508791741336907,4.89637478341997,0.0530454484872718,0.508791741336907,172,172,186,172,172,186,172,172,186,NA,NA,NA,-83.475,35.041667,NA,70,NA,646,1073.5,207,1010
"Coweeta - BB",2004,135,144,186,900,4,2,2,20.3116095229341,0.381239084474676,4.16821476806615,20.3116095229341,0.381239084474676,4.16821476806615,158,186,172,158,186,172,186,186,172,172,172,172,-83.475,35.041667,NA,72,NA,613.5,1090,205,662
"Coweeta - BB",2005,135,137,186,893,4,2,2,9.77272727272727,0.118181818181818,0.971955409902014,9.77272727272727,0.118181818181818,0.971955409902014,158,158,172,158,158,172,186,186,172,172,172,172,-83.475,35.041667,NA,62,NA,647,1038,206,734
"Coweeta - BB",2006,135,130,186,931,5,2,2,12.4151686266383,0.204812723410869,1.77461451417629,12.4151686266383,0.204812723410869,1.77461451417629,158,158,158,158,158,158,172,172,172,158,158,172,-83.475,35.041667,NA,61,NA,712.75,1120.25,201,600
"Coweeta - BB",2007,135,137,200,844,5,3,3,5.67674168389633,0.0588771214803136,0.474552135987703,5.67674168389633,0.0588771214803136,0.474552135987703,158,158,158,158,158,158,172,172,186,158,158,158,-83.475,35.041667,NA,67,NA,717.75,1185.75,199,540
"Coweeta - BB",2008,135,144,200,1009,5,3,3,13.2485482525155,0.180927230517286,0.964090321659082,13.2485482525155,0.180927230517286,0.964090321659082,158,200,200,158,200,200,200,200,200,172,186,186,-83.475,35.041667,NA,73,NA,631.25,1059.75,203,967
"Coweeta - BB",2009,135,165,186,408,2,1,2,7.69230769230769,0.081447963800905,0.538882779839929,9.72850678733032,0.110242698477993,1.63870717123691,165,165,165,165,165,165,165,165,165,NA,NA,NA,-83.475,35.041667,NA,70,NA,688.25,1123,199,971
"Coweeta - BB",2010,135,137,200,780,3,1,1,21.5909090909091,0.287878787878788,1.65480997027804,21.5909090909091,0.287878787878788,1.65480997027804,200,200,158,200,200,158,200,200,200,158,158,158,-83.475,35.041667,NA,83,NA,568.25,1055,200,825
"Coweeta - BB",2011,135,179,193,760,2,2,2,6.69983864154184,0.0801563722740462,0.535308753155963,6.69983864154184,0.0801563722740462,0.535308753155963,193,193,193,193,193,193,193,193,193,NA,NA,NA,-83.475,35.041667,NA,71,NA,677.75,1134.75,198,992
"Coweeta - BB",2012,135,144,179,1090,3,2,2,3.71516768164813,0.0427382689952522,1.08944598071328,3.71516768164813,0.0427382689952522,1.08944598071328,144,144,144,144,144,144,172,172,172,172,172,172,-83.475,35.041667,NA,57,NA,866,1355.25,189,1006
